Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
122,"J Shen, D Liu, J Shen, Q Liu, X Sun","A secure cloud-assisted urban data sharing framework for ubiquitous-cities",2017,"Pervasive and mobile Computing","Elsevier","https://www.sciencedirect.com/science/article/pii/S157411921730161X","https://scholar.google.com/scholar?cites=6101493563157277121&as_sdt=2005&sciodt=2007&hl=en",21,"2025-06-12 12:52:31","","","","",,,,,122,15.25,24,5,8,"… In this paper, we propose a framework for urban data sharing by exploiting the attribute-based cryptography. In order to fit the real world ubiquitous-cities utilization, we extend our …","https://www.sciencedirect.com/science/article/am/pii/S157411921730161X","https://scholar.google.com/scholar?q=related:wWlSjxHcrFQJ:scholar.google.com/&scioq=policy+data+sharing+framework%7Carchitecture&hl=en&as_sdt=2007"
87,"Y Miao, Q Tong, KKR Choo, X Liu, ...","Secure online/offline data sharing framework for cloud-assisted industrial Internet of Things",2019,"IEEE Internet of …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8736869/","https://scholar.google.com/scholar?cites=17148001828297257905&as_sdt=2005&sciodt=2007&hl=en",22,"2025-06-12 12:52:31","","","","",,,,,87,14.50,17,5,6,"… access control over encrypted data (eg, in cloud-assisted applications). In CP-ABE schemes, the PHRs are encrypted based on the specified access policy, and data users’ (DUs) secret …","","https://scholar.google.com/scholar?q=related:sTNoD8_w-e0J:scholar.google.com/&scioq=policy+data+sharing+framework%7Carchitecture&hl=en&as_sdt=2007"
752,"S Wang, Y Zhang, Y Zhang","A blockchain-based framework for data sharing with fine-grained access control in decentralized storage systems",2018,"Ieee Access","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8400511/","https://scholar.google.com/scholar?cites=1708172162538102632&as_sdt=2005&sciodt=2007&hl=en",23,"2025-06-12 12:52:31","","","","",,,,,752,107.43,251,3,7,"… data storage and sharing scheme for decentralized storage systems, and propose a framework … Through this mechanism, the data owner can specifies the data access policy based on …","https://ieeexplore.ieee.org/iel7/6287639/6514899/08400511.pdf","https://scholar.google.com/scholar?q=related:aF9LE4iltBcJ:scholar.google.com/&scioq=policy+data+sharing+framework%7Carchitecture&hl=en&as_sdt=2007"
66,"ES Dove","Biobanks, data sharing, and the drive for a global privacy governance framework",2015,"Journal of Law, Medicine &Ethics","cambridge.org","https://www.cambridge.org/core/journals/journal-of-law-medicine-and-ethics/article/biobanks-data-sharing-and-the-drive-for-a-global-privacy-governance-framework/A2B310CF8E0119126CC1D0D6223AE1D7","https://scholar.google.com/scholar?cites=1077432864692951006&as_sdt=2005&sciodt=2007&hl=en",24,"2025-06-12 12:52:31","","","","",,,,,66,6.60,66,1,10,"… , policymakers, research funders, and biobank administrators to develop numerous privacy policies… of international research and database interoperability, all too often the policies are ill-…","","https://scholar.google.com/scholar?q=related:3tdaYXvP8w4J:scholar.google.com/&scioq=policy+data+sharing+framework%7Carchitecture&hl=en&as_sdt=2007"
167,"MT Britto, SC Fuller, HC Kaplan, U Kotagal, ...","Using a network organisational architecture to support the development of Learning Healthcare Systems",2018,"BMJ quality & …","qualitysafety.bmj.com","https://qualitysafety.bmj.com/content/27/11/937.abstract","https://scholar.google.com/scholar?cites=6173447212871835592&as_sdt=2005&sciodt=2007&hl=en",25,"2025-06-12 12:52:31","","","","",,,,,167,23.86,33,5,7,"… The network framework aligns participants around a common … and policies, including communication policies, data sharing, privacy … A common repository (a ‘commons’) is used to …","https://qualitysafety.bmj.com/content/qhc/27/11/937.full.pdf","https://scholar.google.com/scholar?q=related:yN_ZIoh9rFUJ:scholar.google.com/&scioq=policy+data+sharing+framework%7Carchitecture&hl=en&as_sdt=2007"
46,"J Strassner, WW Diab","A semantic interoperability architecture for Internet of Things data sharing and computing",2016,"2016 IEEE 3rd World Forum on Internet …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/7845422/","https://scholar.google.com/scholar?cites=8981025448974437038&as_sdt=2005&sciodt=2007&hl=en",26,"2025-06-12 12:52:31","","","","",,,,,46,5.11,23,2,9,"… sharing of data and knowledge. This document describes an architecture that combines information and data … In this work, context is used to define semantics and policies; this is lacking …","","https://scholar.google.com/scholar?q=related:rkrd9A8Do3wJ:scholar.google.com/&scioq=policy+data+sharing+framework%7Carchitecture&hl=en&as_sdt=2007"
88,"I Hrynaszkiewicz, N Simons, ...","Developing a research data policy framework for all journals and publishers",2020,"Data Science …","account.datascience.codata.org","https://account.datascience.codata.org/index.php/up-j-dsj/article/view/dsj-2020-005","https://scholar.google.com/scholar?cites=4100581382621019869&as_sdt=2005&sciodt=2007&hl=en",27,"2025-06-12 12:52:31","","","","",,,,,88,17.60,29,3,5,"… availability statements, but which do not have the means to check the contents of those statements in detail or enforce any data sharing mandates (policy 3). Journals that can commit to …","https://account.datascience.codata.org/index.php/up-j-dsj/article/view/dsj-2020-005/933","https://scholar.google.com/scholar?q=related:3b60qwox6DgJ:scholar.google.com/&scioq=policy+data+sharing+framework%7Carchitecture&hl=en&as_sdt=2007"
111,"D Ferraiolo, V Atluri, S Gavrila","The Policy Machine: A novel architecture and framework for access control policy specification and enforcement",2011,"Journal of Systems Architecture","Elsevier","https://www.sciencedirect.com/science/article/pii/S1383762110000251","https://scholar.google.com/scholar?cites=10585668574284707410&as_sdt=2005&sciodt=2007&hl=en",28,"2025-06-12 12:52:31","","","","",,,,,111,7.93,37,3,14,"… framework, referred to as the Policy Machine (PM) that fundamentally changes the way policy … communications and data sharing between applications that provide opportunities to leak …","https://www.academia.edu/download/87357117/j.sysarc.2010.04.00520220611-1-h5a78f.pdf","https://scholar.google.com/scholar?q=related:UnZBqHvZ55IJ:scholar.google.com/&scioq=policy+data+sharing+framework%7Carchitecture&hl=en&as_sdt=2007"
1,"P Nguyen, HH Nguyen, P Phung, HL Truong, ...","Advanced Context-Sensitive Access Management for Edge-Driven IoT Data Sharing as a Service",2025,"ACM Transactions on …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3721430","https://scholar.google.com/scholar?cites=2203868442595006399&as_sdt=2005&sciodt=2007&hl=en",29,"2025-06-12 12:52:31","","10.1145/3721430","","",,,,,1,1.00,0,5,1,"… policy enforcement framework to support IoT data sharing (on-Edge) based on dynamic contracts. Our enforcement framework allows IoT Data Hub … data on the Edge based on policies …","https://dl.acm.org/doi/pdf/10.1145/3721430","https://scholar.google.com/scholar?q=related:v5eRBKy2lR4J:scholar.google.com/&scioq=policy+data+sharing+framework%7Carchitecture&hl=en&as_sdt=2007"
108,"U Narayanan, V Paul, S Joseph","A novel system architecture for secure authentication and data sharing in cloud enabled Big Data Environment",2022,"… of King Saud University-Computer and …","Elsevier","https://www.sciencedirect.com/science/article/pii/S1319157820303700","https://scholar.google.com/scholar?cites=5911469452402344106&as_sdt=2005&sciodt=2007&hl=en",30,"2025-06-12 12:52:31","HTML","","","",,,,,108,36.00,36,3,3,"… for addressing the main issues in Big data security over Cloud. We propose a novel system architecture called the Secure Authentication and Data Sharing in Cloud (SADS-Cloud). …","https://www.sciencedirect.com/science/article/pii/S1319157820303700","https://scholar.google.com/scholar?q=related:qsADiyXCCVIJ:scholar.google.com/&scioq=policy+data+sharing+framework%7Carchitecture&hl=en&as_sdt=2007"
